"filename", "language", "CMake", "C++", "JSON", "CMake Cache", "XML", "YAML", "comment", "blank", "total"
"c:\Users\jghig\cxxprojects\staff\build\CMakeFiles\CMakeConfigureLog.yaml", "YAML", 0, 0, 0, 0, 0, 709, 0, 18, 727
"c:\Users\jghig\cxxprojects\staff\build\CMakeFiles\InstallScripts.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\jghig\cxxprojects\staff\build\ZERO_CHECK.vcxproj", "XML", 0, 0, 0, 0, 179, 0, 0, 0, 179
"c:\Users\jghig\cxxprojects\staff\build\cmake_install.cmake", "CMake", 50, 0, 0, 0, 0, 0, 0, 7, 57
"c:\Users\jghig\cxxprojects\staff\build\staff.vcxproj", "XML", 0, 0, 0, 0, 377, 0, 0, 0, 377
"c:\Users\jghig\cxxprojects\staff\include\api.hh", "C++", 0, 19, 0, 0, 0, 0, 10, 9, 38
"c:\Users\jghig\cxxprojects\staff\include\core.hh", "C++", 0, 9, 0, 0, 0, 0, 0, 2, 11
"c:\Users\jghig\cxxprojects\staff\include\internal.hh", "C++", 0, 112, 0, 0, 0, 0, 14, 34, 160
"c:\Users\jghig\cxxprojects\staff\out\release\CMakeCache.txt", "CMake Cache", 0, 0, 0, 317, 0, 0, 0, 73, 390
"c:\Users\jghig\cxxprojects\staff\out\release\CMakeFiles\4.1.1\CMakeCXXCompiler.cmake", "CMake", 84, 0, 0, 0, 0, 0, 0, 25, 109
"c:\Users\jghig\cxxprojects\staff\out\release\CMakeFiles\4.1.1\CMakeRCCompiler.cmake", "CMake", 6, 0, 0, 0, 0, 0, 0, 1, 7
"c:\Users\jghig\cxxprojects\staff\out\release\CMakeFiles\4.1.1\CMakeSystem.cmake", "CMake", 10, 0, 0, 0, 0, 0, 0, 6, 16
"c:\Users\jghig\cxxprojects\staff\out\release\CMakeFiles\4.1.1\CompilerIdCXX\CMakeCXXCompilerId.cpp", "C++", 0, 729, 0, 0, 0, 0, 63, 158, 950
"c:\Users\jghig\cxxprojects\staff\out\release\CMakeFiles\CMakeConfigureLog.yaml", "YAML", 0, 0, 0, 0, 0, 2519, 2, 12, 2533
"c:\Users\jghig\cxxprojects\staff\out\release\CMakeFiles\InstallScripts.json", "JSON", 0, 0, 7, 0, 0, 0, 0, 1, 8
"c:\Users\jghig\cxxprojects\staff\out\release\cmake_install.cmake", "CMake", 54, 0, 0, 0, 0, 0, 0, 8, 62
"c:\Users\jghig\cxxprojects\staff\src\api.cc", "C++", 0, 168, 0, 0, 0, 0, 22, 48, 238
"c:\Users\jghig\cxxprojects\staff\src\internal.cc", "C++", 0, 69, 0, 0, 0, 0, 25, 24, 118
"c:\Users\jghig\cxxprojects\staff\src\main.cc", "C++", 0, 48, 0, 0, 0, 0, 1, 20, 69
"Total", "-", 318, 1883, 3005, 581, 923, 3228, 200, 750, 10888
